MoveEvent(x=228, y=224, time=1683894821.3361478)
MoveEvent(x=223, y=217, time=1683894821.3434155)
MoveEvent(x=218, y=207, time=1683894821.3521893)
MoveEvent(x=216, y=200, time=1683894821.3599508)
MoveEvent(x=213, y=191, time=1683894821.36795)
MoveEvent(x=211, y=181, time=1683894821.376153)
MoveEvent(x=211, y=172, time=1683894821.3831906)
MoveEvent(x=208, y=162, time=1683894821.3913941)
MoveEvent(x=208, y=153, time=1683894821.3996513)
MoveEvent(x=210, y=143, time=1683894821.4077957)
MoveEvent(x=214, y=136, time=1683894821.4160435)
MoveEvent(x=219, y=129, time=1683894821.423304)
MoveEvent(x=225, y=124, time=1683894821.4314466)
MoveEvent(x=233, y=117, time=1683894821.4392142)
MoveEvent(x=241, y=114, time=1683894821.44815)
MoveEvent(x=255, y=109, time=1683894821.4552884)
MoveEvent(x=267, y=108, time=1683894821.4634154)
MoveEvent(x=280, y=105, time=1683894821.472225)
MoveEvent(x=296, y=105, time=1683894821.479904)
MoveEvent(x=316, y=105, time=1683894821.4878647)
MoveEvent(x=338, y=105, time=1683894821.4961476)
MoveEvent(x=367, y=105, time=1683894821.5032506)
MoveEvent(x=392, y=105, time=1683894821.5119495)
MoveEvent(x=418, y=107, time=1683894821.519834)
MoveEvent(x=441, y=110, time=1683894821.5281522)
MoveEvent(x=461, y=117, time=1683894821.5360904)
MoveEvent(x=475, y=123, time=1683894821.5439608)
MoveEvent(x=488, y=130, time=1683894821.5522199)
MoveEvent(x=498, y=137, time=1683894821.5595992)
MoveEvent(x=507, y=146, time=1683894821.5679493)
MoveEvent(x=513, y=153, time=1683894821.575902)
MoveEvent(x=520, y=163, time=1683894821.583363)
MoveEvent(x=523, y=176, time=1683894821.5917044)
MoveEvent(x=527, y=189, time=1683894821.5999126)
MoveEvent(x=532, y=206, time=1683894821.6078334)
MoveEvent(x=535, y=222, time=1683894821.616149)
MoveEvent(x=539, y=238, time=1683894821.623594)
MoveEvent(x=550, y=259, time=1683894821.631758)
MoveEvent(x=553, y=270, time=1683894821.6394858)
MoveEvent(x=558, y=282, time=1683894821.6481454)
MoveEvent(x=568, y=294, time=1683894821.6560862)
MoveEvent(x=579, y=302, time=1683894821.6636543)
MoveEvent(x=590, y=308, time=1683894821.6717086)
MoveEvent(x=601, y=312, time=1683894821.6799397)
MoveEvent(x=617, y=318, time=1683894821.6879501)
MoveEvent(x=634, y=323, time=1683894821.6961155)
MoveEvent(x=655, y=329, time=1683894821.7032492)
MoveEvent(x=678, y=336, time=1683894821.7112775)
MoveEvent(x=698, y=339, time=1683894821.7192602)
MoveEvent(x=722, y=343, time=1683894821.727228)
MoveEvent(x=736, y=344, time=1683894821.735226)
MoveEvent(x=758, y=348, time=1683894821.7432187)
MoveEvent(x=785, y=348, time=1683894821.7519505)
MoveEvent(x=809, y=348, time=1683894821.7592342)
MoveEvent(x=834, y=348, time=1683894821.76795)
MoveEvent(x=854, y=347, time=1683894821.7752864)
MoveEvent(x=874, y=340, time=1683894821.7840939)
MoveEvent(x=892, y=331, time=1683894821.792091)
MoveEvent(x=906, y=321, time=1683894821.800125)
MoveEvent(x=921, y=306, time=1683894821.8071296)
MoveEvent(x=936, y=288, time=1683894821.8151348)
MoveEvent(x=950, y=264, time=1683894821.82412)
MoveEvent(x=959, y=244, time=1683894821.8321385)
MoveEvent(x=966, y=227, time=1683894821.84011)
MoveEvent(x=972, y=212, time=1683894821.8471043)
MoveEvent(x=976, y=194, time=1683894821.8551602)
MoveEvent(x=977, y=182, time=1683894821.8633218)
MoveEvent(x=978, y=172, time=1683894821.871212)
MoveEvent(x=978, y=161, time=1683894821.8799067)
MoveEvent(x=978, y=152, time=1683894821.8880072)
MoveEvent(x=978, y=144, time=1683894821.8959434)
MoveEvent(x=974, y=136, time=1683894821.9037738)
MoveEvent(x=968, y=129, time=1683894821.9119487)
MoveEvent(x=965, y=126, time=1683894821.920086)
MoveEvent(x=959, y=122, time=1683894821.9272244)
MoveEvent(x=949, y=120, time=1683894821.9359431)
MoveEvent(x=941, y=118, time=1683894821.94335)
MoveEvent(x=930, y=117, time=1683894821.9519434)
MoveEvent(x=917, y=117, time=1683894821.9595582)
MoveEvent(x=905, y=117, time=1683894821.967942)
MoveEvent(x=891, y=117, time=1683894821.976018)
MoveEvent(x=877, y=118, time=1683894821.983638)
MoveEvent(x=861, y=123, time=1683894821.9916298)
MoveEvent(x=848, y=126, time=1683894821.9996462)
MoveEvent(x=832, y=132, time=1683894822.0076423)
MoveEvent(x=816, y=141, time=1683894822.0152702)
MoveEvent(x=805, y=148, time=1683894822.023359)
MoveEvent(x=792, y=156, time=1683894822.0312445)
MoveEvent(x=776, y=166, time=1683894822.039412)
MoveEvent(x=762, y=176, time=1683894822.047412)
MoveEvent(x=742, y=191, time=1683894822.0558958)
MoveEvent(x=726, y=202, time=1683894822.06351)
MoveEvent(x=706, y=217, time=1683894822.071688)
MoveEvent(x=686, y=234, time=1683894822.0799434)
MoveEvent(x=666, y=251, time=1683894822.0872173)
MoveEvent(x=639, y=270, time=1683894822.0959427)
MoveEvent(x=614, y=288, time=1683894822.1033978)
MoveEvent(x=590, y=303, time=1683894822.1111383)
MoveEvent(x=566, y=315, time=1683894822.1191883)
MoveEvent(x=543, y=324, time=1683894822.1277075)
MoveEvent(x=524, y=331, time=1683894822.135158)
MoveEvent(x=504, y=337, time=1683894822.143283)
MoveEvent(x=490, y=341, time=1683894822.1521)
MoveEvent(x=478, y=343, time=1683894822.1599424)
MoveEvent(x=463, y=346, time=1683894822.1679432)
MoveEvent(x=446, y=346, time=1683894822.1752489)
MoveEvent(x=430, y=346, time=1683894822.1832862)
MoveEvent(x=413, y=346, time=1683894822.1919427)
MoveEvent(x=397, y=346, time=1683894822.199942)
MoveEvent(x=385, y=346, time=1683894822.2080774)
MoveEvent(x=374, y=346, time=1683894822.2160187)
MoveEvent(x=366, y=346, time=1683894822.2233508)
