MoveEvent(x=1313, y=93, time=1681727649.7145731)
MoveEvent(x=1274, y=97, time=1681727649.7215757)
MoveEvent(x=1232, y=102, time=1681727649.7275743)
MoveEvent(x=1192, y=111, time=1681727649.7345736)
MoveEvent(x=1152, y=118, time=1681727649.741575)
MoveEvent(x=1121, y=122, time=1681727649.748575)
MoveEvent(x=1097, y=128, time=1681727649.7555766)
MoveEvent(x=1077, y=131, time=1681727649.7628512)
MoveEvent(x=1057, y=136, time=1681727649.7695773)
MoveEvent(x=1039, y=141, time=1681727649.7777197)
MoveEvent(x=1026, y=144, time=1681727649.7845788)
MoveEvent(x=1012, y=149, time=1681727649.7905793)
MoveEvent(x=997, y=154, time=1681727649.7965784)
MoveEvent(x=981, y=161, time=1681727649.8036938)
MoveEvent(x=966, y=169, time=1681727649.8105898)
MoveEvent(x=949, y=179, time=1681727649.8174727)
MoveEvent(x=930, y=191, time=1681727649.8243585)
MoveEvent(x=904, y=210, time=1681727649.8312025)
MoveEvent(x=883, y=228, time=1681727649.838209)
MoveEvent(x=860, y=249, time=1681727649.8446577)
MoveEvent(x=837, y=272, time=1681727649.851851)
MoveEvent(x=819, y=294, time=1681727649.8587487)
MoveEvent(x=807, y=309, time=1681727649.865884)
MoveEvent(x=789, y=335, time=1681727649.8724573)
MoveEvent(x=778, y=358, time=1681727649.8800845)
MoveEvent(x=768, y=373, time=1681727649.886349)
MoveEvent(x=762, y=385, time=1681727649.8933525)
MoveEvent(x=755, y=398, time=1681727649.8996465)
MoveEvent(x=751, y=407, time=1681727649.906903)
MoveEvent(x=748, y=414, time=1681727649.914439)
MoveEvent(x=747, y=420, time=1681727649.9217153)
MoveEvent(x=746, y=427, time=1681727649.9281545)
MoveEvent(x=746, y=433, time=1681727649.9350562)
MoveEvent(x=746, y=441, time=1681727649.9413965)
MoveEvent(x=749, y=452, time=1681727649.9489923)
MoveEvent(x=755, y=461, time=1681727649.9560087)
MoveEvent(x=763, y=474, time=1681727649.9620502)
MoveEvent(x=774, y=487, time=1681727649.969553)
MoveEvent(x=792, y=501, time=1681727649.9758482)
MoveEvent(x=812, y=514, time=1681727649.9828458)
MoveEvent(x=836, y=528, time=1681727649.989288)
MoveEvent(x=874, y=544, time=1681727649.9966981)
MoveEvent(x=916, y=559, time=1681727650.0033486)
MoveEvent(x=965, y=575, time=1681727650.0102227)
MoveEvent(x=1018, y=588, time=1681727650.017722)
MoveEvent(x=1073, y=598, time=1681727650.0242572)
MoveEvent(x=1136, y=607, time=1681727650.031111)
MoveEvent(x=1191, y=612, time=1681727650.038258)
MoveEvent(x=1256, y=615, time=1681727650.0442588)
MoveEvent(x=1321, y=615, time=1681727650.0516486)
MoveEvent(x=1363, y=613, time=1681727650.0581067)
MoveEvent(x=1421, y=611, time=1681727650.0660841)
MoveEvent(x=1487, y=605, time=1681727650.0720582)
MoveEvent(x=1542, y=597, time=1681727650.079281)
MoveEvent(x=1597, y=589, time=1681727650.0861824)
MoveEvent(x=1649, y=582, time=1681727650.093183)
MoveEvent(x=1704, y=574, time=1681727650.100185)
MoveEvent(x=1755, y=566, time=1681727650.1062021)
MoveEvent(x=1797, y=561, time=1681727650.1131988)
MoveEvent(x=1836, y=557, time=1681727650.120203)
MoveEvent(x=1866, y=555, time=1681727650.1272023)
MoveEvent(x=1888, y=553, time=1681727650.1342087)
MoveEvent(x=1906, y=552, time=1681727650.1412036)
MoveEvent(x=1920, y=552, time=1681727650.1473122)
MoveEvent(x=1929, y=552, time=1681727650.154875)
MoveEvent(x=1925, y=552, time=1681727650.1623683)
MoveEvent(x=1923, y=553, time=1681727650.168988)
MoveEvent(x=1920, y=553, time=1681727650.1754339)
MoveEvent(x=1920, y=554, time=1681727650.1819956)
